title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
GOALTENDING – NET DRIVES – BAD ANGLE POST WORK: OVERLAP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_net_drives_bad_angle_postwork_overlap.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One forward to drive the net on a bad angle and shoot; Defence in position to allow the shot and deny a pass; Goalie to recognize the situation where the player is
    choosing to shoot","Recognize where the D is – taking away the pass and
    forcing a shot; Establish overlap when recognizing player’s depth; Ready and set to receive","['Forward', 'Defence', 'Goalie']",Unknown,Unknown,['Offensive Play'],"['Positioning', 'Timing']",Intermediate
GOALTENDING – NET DRIVES – BAD ANGLE POST WORK: REVERSE VERTICAL HORIZONTAL,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_net_drives_bad_angle_postwork_reverse_vertical_horizontal.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One forward to drive the net on a bad angle and beat the
    defence; Goalie to recognize the situation where the player is
    beating the defenceman","Recognize when player is driving the net – goalie should
    seal the ice; Goalie must find their timing and practice improving
    quickness of RVH","['Forward', 'Goalie']",Unknown,Unknown,['Offensive Play'],['Timing'],Intermediate
GOALTENDING – KARAOKE CROSSOVERS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_karaoke_crossovers.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Goalies perform the following skating technique in front
    of pucks lined up; Where ice is available; Forward crossovers, backward crossovers, forward and
    backwards; Each leg",Work on control and balance; Increase range of mobility,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – HIGH / LOW – LOW TO HIGH PASSOUT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_high_low_low_to_high_passout.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One player at the goal line with pucks and another player
    receiving around the slot in different positions; Goalie to play the passout","Skate push until the puck is almost received –
    establishing maximum depth; Recognize the situationWhen passer cannot drive the net: feet are set at
        maximum depth; When passer cannot drive the net: feet are set at
        maximum depth; Goalie needs to move to the middle then out",['Goalie'],Unknown,Unknown,[],"['Skating', 'Positioning']",Intermediate
GOALTENDING – HANDS – VISUALIZATION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_visualization.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Player or coach at the top of the circles with pucks; Goalie visualizes a glove or blocker save; Then shot is placed when the goalie visualized the save; Repeat,Visualize good habits,['Goalie'],Unknown,Unknown,[],['Positioning'],Intermediate
GOALTENDING – HANDS – STICK DEFLECTION INTO NETS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_stick_redirectionIinto_nets.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Goalie in a butterfly with nets at each side; Player to shoot along the ice blocker and glove side; Goalie to deflect into the nets,Controlling the shot and deflecting into the nets; Stick on an angle for easier control,['Goalie'],Unknown,Unknown,[],['Stickhandling'],Intermediate
GOALTENDING – HANDS – ON KNEES SHOTS GLOVE IN BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_on_knees_shots_glove_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Player or coach at the top of the circles with pucks; Takes 3 glove shots on the goalie in net: in a butterfly; Repeat,Hands are out and ready; Eyes are tracking the puck all the way into glove; Stick in the middle,['Goalie'],All Zones,All Zones,[],['Positioning'],Intermediate
GOALTENDING – HANDS – ON KNEES SHOTS BLOCKER IN BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_on_knees_shots_blocker_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Player or coach at the top of the circles with pucks; Takes 3 blocker shots on the goalie in net: in a butterfly; Repeat,"Hands are out and ready; Eyes are tracking the puck all the way to blocker and
    rebound; Let the puck come to the blocker, do not reach for puck; Rotate blocker slightly to deflect; Stick in the middle, on the same blocker angle",['Goalie'],Unknown,Unknown,[],['Shot Blocking'],Intermediate
GOALTENDING – HANDS – HIGH GLOVE SHOTS IN BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_high_glove_shots_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player or coach at the top of the circles with pucks; Takes high glove shots at the goalie in net when they are
    in a butterfly",Hands are out and ready; Eyes are tracking the puck all the way into the glove,['Goalie'],All Zones,All Zones,[],['Positioning'],Intermediate
GOALTENDING – HANDS – HAND EYE WITH BALL,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_hand_eye_with_ball.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Goalie with preferably basketball between hands; Coach or player takes glove or blocker shots for goalie to
    trap or deflect",Increase quickness of gloves; Practice gloves being out and in front,['Goalie'],Unknown,Unknown,[],['Hand Eye Coordination'],Intermediate
"GOALTENDING – HANDS – GLOVE SHOTS STANDING, DOWN AND IN BUTTERFLY",https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_glove_shots_standing_down_and_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player or coach at the top of the circles with pucks; Takes 3 glove shots on the goalie in net: standing, going
    into a butterfly, and in a butterfly; Repeat",Hands are out and ready; Eyes are tracking the puck all the way into glove; Stick in the middle,['Goalie'],Unknown,Unknown,[],['Positioning'],Intermediate
GOALTENDING – HANDS – FINLAND SHOOTING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_finland_shooting.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two cones set up a few feet apart; Goalie does the following movement between the cones
    while receiving glove shots:ShufflePowerslide; Shuffle; Powerslide; Two players in front of goalie to alternate shooting at
    glove and blocker",Shuffle; Powerslide,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – HANDS – EAST/WEST T-PUSH,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_east_west_t_push.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players at each face-off dots with pucks; Goalie starts square to a face-off dot, pivot and T-pushes
    for a shot at opposite face-off dot; Starts again on feet, square to the face-off dot and
    repeats motion; Shooters are trying to hit the middle bar when aiming and
    shoot when coming across","Eyes are tracking the puck all the way from start to
    rebound; Eyes pivot first, shoulders pivot and feet follow; Controlled movements, practice moving hands; Moving back towards the post to be square to the puck",['Goalie'],Unknown,Unknown,"['Goalie Drill', 'Shot Blocking']","['Skating', 'Positioning', 'Shot Blocking']",Intermediate
GOALTENDING – HANDS – EAST/WEST BUTTERFLY SLIDES,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_east_west_butterfly_slides.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players at each face-off dots with pucks; Goalie starts square to a face-off dot, pivot and butterfly
    slides for a shot at opposite face-off dot; Starts again on feet, square to the face-off dot and
    repeats motion; Shooters are trying to hit the middle bar when aiming and
    shoot when coming across","Eyes are tracking the puck all the way from start to
    rebound; Eyes pivot first, shoulders pivot and feet follow; Controlled movements, practice moving hands; Moving back towards the post to be square to the puck",['Goalie'],Unknown,Unknown,['Small Area Game'],"['Skating', 'Positioning', 'Timing']",Intermediate
GOALTENDING – HANDS – CLEAR GLOVE SHOTS IN BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_high_glove_shots_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Player or coach at the top of the circles with pucks; Takes glove shots on the goalie in net,Hands are out and ready; Eyes are tracking the puck all the way into glove; Place the puck directly on the ice after save,['Goalie'],All Zones,All Zones,[],['Positioning'],Intermediate
GOALTENDING – HANDS – CLEAR BLOCKER SHOTS IN BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_high_glove_shots_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Player or coach at the top of the circles with pucks; Takes blocker shots on the goalie in net; Control rebound and deflect into corners,"Hands are out and ready; Eyes are tracking the puck all the way to blocker and
    rebound; Let the puck come to the blocker, do not reach for puck; Rotate blocker slightly to deflect",['Goalie'],All Zones,All Zones,[],['Shot Blocking'],Intermediate
"GOALTENDING – HANDS – BLOCKER SHOTS STANDING, DOWN AND IN BUTTERFLY",https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_blocker_shots_standing_down_and_in_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player or coach at the top of the circles with pucks; Takes 3 blocker shots on the goalie in net: standing,
    going into a butterfly, and in a butterfly; Repeat","Hands are out and ready; Eyes are tracking the puck all the way to blocker and
    rebound; Let the puck come to the blocker, do not reach for puck; Rotate blocker slightly to deflect; Stick in the middle, on the same blocker angle",['Goalie'],Unknown,Unknown,[],"['Positioning', 'Shot Blocking']",Intermediate
GOALTENDING – HANDS – BACKWARD C-CUTS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_hands_backward_c_cuts_glove_and_blocker.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Goalie starts on the goal line in the net; C-cuts to the top of the crease, stops, and C-cuts
    backwards; Player is in the slot with pucks and shoots towards the
    goalie’s glove and blocker when they start moving back; Right foot stop with right hand save, left foot stop with
    left hand save","Head and shoulders stable and continuously at the same
    height; Stick on the ice, in the middle on an angle where the
    blocker falls; Hard stops",['Goalie'],Unknown,Unknown,[],"['Skating', 'Positioning']",Intermediate
GOALTENDING – ENTRIES – 3 VS 2 EAST WEST PASS SIDE TO SIDE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_3vs2_east_west_pass_side_to_side.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two defencemen and three forwards to simulate an entry
    with 3 vs 2 where the puck carrier passes; Goaltender to recognize how to play this situation","Establish maximum depth early; Motion back because outnumbered and to help move to
    the new angle; Angle back towards the net, don’t chase the pass; Set early, ready to receive position",['Goalie'],Unknown,Unknown,['Zone Entry'],"['Positioning', 'Angling']",Intermediate
GOALTENDING – ENTRIES – 3 VS 2 EAST WEST PASS SIDE TO MIDDLE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_3vs2_east_west_pass_side_to_middle.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two defencemen and three forwards to simulate an entry
    with 3 vs 2 where the puck carrier passes; Goaltender to recognize how to play this situation",Read what the D is taking away; Motion back to respect the pass – helps move to a new angle,['Goalie'],Unknown,Unknown,['Zone Entry'],[],Intermediate
GOALTENDING – ENTRIES – 3 VS 2 EAST WEST CARRY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_3vs2_east_west_carry.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two defencemen and three forwards to simulate an entry
    with 3 vs 2 where the puck carrier carries the puck and
    shoots; Goaltender to recognize how to play this situation","Establish maximum depth early; Motion back because outnumbered and to help move to
    the new angle",['Goalie'],Unknown,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – ENTRIES – 3 VS 2 CLEAR SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_3vs2_clear_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two defencemen and three forwards to simulate an entry
    with 3 vs 2 where the puck carrier shoots; Goaltender to recognize how to play this situation","Read what the D is taking away; If there is no option to pass or get to the net: hold
    position; Motion back because out numbered; Establish maximum depth early",['Goalie'],Unknown,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – ENTRIES – 2 VS 2 CLEAR SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_2vs2_clear_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Two defencemen and two forwards to simulate an entry
    with 2 vs 2 where the puck carrier shoots; Goaltender to recognize how to play this situation",Read what the D is taking away; If there is no option to pass: hold position; Motion back if pass option drives the middle,['Goalie'],Unknown,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – ENTRIES – 2 VS 1 EAST WEST PASS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_2vs1_east_west_pass.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One defenceman and two forwards to simulate an entry
    with 2 vs 1 where the puck carrier passes; Goaltender to recognize how to play this situation","Read what the D is taking away; If there is an option to pass: motion back to respect it; Eyes and chin down, eyes first to track the pass; Angle back towards the net, don’t chase the pass",['Goalie'],Unknown,Unknown,['Zone Entry'],"['Positioning', 'Angling']",Intermediate
GOALTENDING – ENTRIES – 2 VS 1 CLEAR SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_2vs1_clear_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One defenceman and two forwards to simulate an entry
    with 2 vs 1 where the puck carrier shoots; Goaltender to recognize how to play this situation",Read what the D is taking away; Establish position and depth early; Hold position when shooting from outside the dot; Motion back if coming inside the dots,['Goalie'],Unknown,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – ENTRIES – 1 VS 1 EAST WEST CARRY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_1vs1_east_west_carry.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One defenceman and one forward to simulate an entry
    with 1 vs 1 where the attacker carries the puck East / West
    and takes a shot; Goaltender to recognize how to play this situation",Establish position and depth early; Speed of backwards motion = speed of attacker,['Goalie'],Unknown,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – ENTRIES – 1 VS 1 DOWN THE WING WITH GOOD DEFENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries1vs1_down_the_wing_with_good_defence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One defenceman and one forward to simulate an entry
    with 1 vs 1 where the attacker can’t beat the defence but
    takes a shot; Goaltender to recognize how to play this situation",Establish position and depth early; Hold position when shooting from outside the dot; Recognize no opportunity of a net drive,"['Defence', 'Forward', 'Goalie']",Neutral Zone,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – ENTRIES – 1 VS 1 DOWN THE WING WITH BAD DEFENCE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_entries_1vs1_down_the_wing_with_bad_defence.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One defenceman and one forward to simulate an entry
    with 1 vs 1 where the attacker beats the defence; Goaltender to recognize how to play this situation","Establish position and depth early; Hold position when shooting from outside the dot; Backward motion when D gets beat,Helps with the change of angle if player drives the netHold position if player decides to shoot; Helps with the change of angle if player drives the net; Hold position if player decides to shoot",['Goalie'],Unknown,Unknown,['Zone Entry'],['Positioning'],Intermediate
GOALTENDING – EAST / WEST – TOP OF THE CIRCLES PASS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_east_west_top_of_the_circles_pass.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players at each top of the circle with pucks; Players to pass and take a one-timer or receive and shoot,"Goalie can either T-push or shuffle depending on skill:Shuffle is more efficient and allows goalie to
        always be on angle; Shuffle is more efficient and allows goalie to
        always be on angle; Angle back to net, don’t chase the pass",['Goalie'],All Zones,All Zones,[],"['Passing', 'Shooting', 'Positioning', 'Angling']",Intermediate
GOALTENDING – DEFLECTIONS – MIDDLE LANE TIPS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_deflections_middle_lane_tips.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One player inside the blue line with pucks and one player
    tipping in front of the net; Player should shoot outside the skates and tipper to make
    the puck come back inside with the tip; Play the rebound","Goalie to butterfly with a slight movement left or right; Don’t over push, the puck will come back to the middle; Follow the rebound",['Goalie'],Unknown,Unknown,[],"['Positioning', 'Shot Blocking']",Intermediate
GOALTENDING – DEFLECTIONS – HIGH TO LOW BACKDOOR DEFLECTION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_deflections_high_to_low_backdoor_deflection.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player at the top of one circle with pucks, another player
    just inside the blue line ready to skate backdoor; Player with pucks does a hard pass for backdoor tip","Need slight motion backwards for oncoming player and a
    pivot to new angle; Need to see if the tipper is left of right handed; Track puck and rebound; Don’t over play",['Goalie'],Unknown,Unknown,[],"['Positioning', 'Timing']",Intermediate
GOALTENDING – DEFLECTIONS – HIGH SKATING DEFLECTION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_deflections_high_skating_deflection.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player at the top of one circle with pucks, another player
    just inside the blue line ready to skate into the slot; Player with pucks does a hard pass for a tip in the slot",Need slight motion backwards for oncoming player; Need to see if the tipper is left of right handed; Track puck and rebound,['Forward'],Offensive Zone,Offensive Zone,['Offensive Play'],"['Passing', 'Shooting', 'Stickhandling']",Intermediate
GOALTENDING – CLEAR SHOTS – LOW TO HIGH SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_clear_shots_low_to_high_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One player on the goal line with pucks; Passes to a player right inside the blue line who takes a
    shot before the top of the circles; Goalie starts at the post, follows the pass; Play the rebound; Repeat opposite side",Goalie needs to beat the pass; Get set outside the crease to maximize depth; Hold position because player can only shoot,['Goalie'],Unknown,Unknown,[],['Positioning'],Intermediate
GOALTENDING – CLEAR SHOTS – EAST WEST SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_clear_shots_east_west_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"One players passes East-West to the other player just
    inside the blue line; Player takes a shot before the top of the circles; Everyone plays the rebound; Repeat other side",Strong T-push to maximize depth and beat the pass; Get set and hold position for the shot,['Goalie'],Unknown,Unknown,[],"['Skating', 'Shooting', 'Positioning']",Intermediate
GOALTENDING – CLEAR SHOT – ENTRY HOLD,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_clear_shots_entry_hold.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players lined up around the Neutral Zone face-off; Enter the zone and take a shot before the top of the circles; Play the rebound; Repeat opposite side,Goalie needs to be set for the shot; Establish and hold position when player can only shoot,['Goalie'],Neutral Zone,Neutral Zone,['Zone Entry'],"['Shooting', 'Positioning']",Intermediate
GOALTENDING – BREAKAWAYS – BREAKAWAY WITH A SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_breakaways_breakaway_with_a_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players in the NZ and come in on a breakaway,Establish depth; Speed of backwards motion = speed of attacker,['Goalie'],Neutral Zone,Neutral Zone,['Breakout'],['Positioning'],Intermediate
GOALTENDING – BREAKAWAYS – BREAKAWAY WITH A DEKE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_breakaways_breakaway_with_a_deke.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players in the NZ and come in on a breakaway,Establish depth; Speed of backwards motion = speed of attacker,['Goalie'],Neutral Zone,Neutral Zone,['Breakout'],[],Intermediate
U11 - SKATING – WARM UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-warm-up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and then back along the boards.; Perform each skating skill as shown.",Technique is important in this warm-up to give the players lots of repetition on technical aspects of skating.,[],Neutral Zone,Neutral Zone,[],['Skating'],Easy
U11 - SKATING – WARM UP – BACKWARDS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-warm-up-backwards.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each backward skating skill as shown.",Technique is important in this warm-up to give the players lots of repetition on technical aspects of skating.,[],All Zones,All Zones,[],['Skating'],Easy
U11 - PUCK CONTROL WARM UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-puck-control-warm-up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each skill as shown.",Technique is important in this warm-up set up – have players try to get as many reps of each skill as possible down the ice; Encourage quick hands and lots of range of motion,[],Neutral Zone,Neutral Zone,[],"['Skating', 'Stickhandling']",Intermediate
U11 - SKATING – EDGE CONTROL,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-edge-control.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Coaches place two hockey sticks perpendicular to each other inside a faceoff circle; Players skate a figure 8 pattern around the sticks, focusing on riding the inside edge of each skate around the turns; Progress to heel-to-heel around the sticks; Both directions",Players should focus on good knee bend and controlling their balance on the inside edge of their skates; Encourage players to keep their head up,[],Unknown,Unknown,"['Skating', 'Faceoff']",['Skating'],Intermediate
U11 - SKATING – EDGE CONTROL – PUCK DOTS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-edge-control-puck-dots.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 5 pucks in a row down the middle of the faceoff circle; Players weave back and forth through the pucks working on one foot stops on each side of the pucks.; Progression: Outside edge, inside edge, backwards.",Emphasize holding balance on one foot through each stop.,[],Unknown,Unknown,[],['Skating'],Intermediate
U11 - GOALTENDING – SKATING – PUCK DOTS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-goaltending-skating-puck-dots.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 5 pucks in a row down the middle of the faceoff circle; Goalies weave back and forth through the pucks, stopping on each side and dropping into butterfly; Progression: Butterfly slide through pucks",Goalies should focus on staying square and facing up ice.; Work on quickness and proper butterfly technique.,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
U11 - SKATING – EDGE CONTROL – CROSSUNDER,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-edge-control-crossunder.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Place pucks around the outside of the faceoff circle; Players skate around the circle performing a “crossunder”; Progression: place two sticks in a straight line and hold the crossunder over the sticks,Encourage players to get a strong push from their back foot when crossing under for acceleration; Get players comfortable holding the crossunder position and riding their edges,[],Unknown,Unknown,[],['Skating'],Intermediate
U11 - SKATING – LATERAL AGILITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-lateral-agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"On the whistle, players perform lateral crossovers back and forth across the length of the faceoff circle.",Emphasize keeping your feet up ice and staying square.; Work on quick feet and moving laterally as fast as possible with good technique,[],Unknown,Unknown,[],['Skating'],Intermediate
U11 - GOALTENDING – SKATING – CIRCLE AGILITY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending-skating-circle-agility.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"On the whistle, goalies perform standing lateral pushes back and forth across the length of the faceoff circle.",Goalies should focus on balancing on one foot when stopping and changing direction.; Work on quick feet and moving laterally as fast as possible with good technique.,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
U11 - SKATING – CIRCLE CROSSOVER PROGRESSION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-skating-circle-crossover-progression.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"On the whistle, players skate around the faceoff circle performing the crossover progression.; Players start with single leg pushes around the circle and then progress to performing slow crossovers around the circle; Perform both directions and then switch to backwards","Focus on keeping your shoulders square; Perform large crossovers that grab lots of ice and maximize efficiency; Slow, good technique.",[],Unknown,Unknown,"['Skating', 'Small Area Game']",['Skating'],Intermediate
U11 - GOALTENDING – SKATING – CIRCLE SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/u11-goaltending-skating-circle-skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Goalies perform backwards standing single leg pushes around the faceoff circle.; Progression: Two goalies perform backwards standing single leg pushes around ½ the faceoff circle, then perform lateral butterfly pushes across the length of the circle before completing standing single leg pushes around the other ½ of the circle.",Focus on keeping shoulders square.; Emphasize good technique before quickness.,['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
SKATING – WARM UP – SPEED PROGRESSION,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/skating-warm-up-speed-progression.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players lineup at one end of the ice and perform various skills down the center of the ice.; Perform progressions to maximize speed and power.,"Ride inside edge each direction; Two foot turns; One crossover; Two crossovers; One crossover, ride inside edge; Full speed, any technique",[],Unknown,Unknown,[],['Skating'],Intermediate
PUCK CONTROL – WARM UP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/puck-control-warm-up.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines on the hashmarks; Both lines can go at the same time, or each line can alternate, skating down the middle to the far end and back along the boards.; Perform each skill as shown.",Technique is important in this warm-up set up – have players try to get as many reps of each skill as possible down the ice; Encourage quick hands and lots of range of motion,[],Unknown,Unknown,[],"['Skating', 'Stickhandling']",Easy
